,word
0,Д
1,д
2,​
3,‾
4,℃
5,™
6,Ⅱ
7,Ⅲ
8,⇒
9,┐
10,♯
11,ぁ
12,あ
13,あぁ
14,ああ
15,あい
16,あいさつ
17,あいだ
18,あいつ
19,あいにく
20,あいまい
21,あう
22,あえ
23,あえぐ
24,あえて
25,あえなく
26,あえる
27,あおい
28,あおり
29,あか
30,あからさま
31,あかり
32,あかん
33,あがっ
34,あがら
35,あがり
36,あがる
37,あき
38,あきらか
39,あきらめ
40,あきらめる
41,あきれ
42,あき竹城
43,あくまで
44,あくまでも
45,あけ
46,あける
47,あげ
48,あげく
49,あげよ
50,あげる
51,あげれ
52,あこがれ
53,あご
54,あさこ
55,あさみ
56,あさり
57,あし
58,あした
59,あしらっ
60,あしらわ
61,あすか
62,あずさ
63,あせら
64,あそこ
65,あたかも
66,あたし
67,あたたか
68,あたたかい
69,あたためる
70,あたっ
71,あたり
72,あたる
73,あだ名
74,あちこち
75,あちら
76,あっ
77,あっさり
78,あっち
79,あっという間
80,あっという間に
81,あっぱれ
82,あつめ
83,あつ子
84,あて
85,あてはまら
86,あてはまる
87,あてる
88,あと
89,あどけない
90,あながち
91,あなた
92,あなどれ
93,あの
94,あふれ
95,あふれる
96,あぶら
97,あぶり
98,あま
99,あまた
100,あまり
101,あまりに
102,あまりの
103,あめ
104,あや
105,あやかっ
106,あやしい
107,あやまん
108,あゆみ
109,あら
110,あらかじめ
111,あらす
112,あらためて
113,あらゆる
114,あらわ
115,あらわれ
116,あらわれる
117,あり
118,ありえ
119,ありえる
120,ありがた
121,ありがたい
122,ありがたく
123,ありがたみ
124,ありがと
125,ありがとう
126,ありとあらゆる
127,ありのまま
128,ありふれ
129,あり方
130,ある
131,ある程度
132,あれ
133,あれこれ
134,あろ
135,あわ
136,あわせ
137,あわせる
138,あわて
139,あわや
140,あん
141,あんしん
142,あんず
143,あんた
144,あんど
145,あんな
146,あんなに
147,あんま
148,あんまり
149,あー
150,ぃ
151,い
152,いい
153,いいえ
154,いいかげん
155,いいっ
156,いいよっ
157,いいわけ
158,いい加減
159,いう
160,いえ
161,いえいえ
162,いえよ
163,いえる
164,いか
165,いかが
166,いかに
167,いかにも
168,いかん
169,いかんせん
170,いき
171,いきいき
172,いきさつ
173,いきなり
174,いく
175,いくつ
176,いくら
177,いくらでも
178,いけ
179,いける
180,いけれ
181,いこ
182,いざ
183,いし
184,いじっ
185,いじめ
186,いじら
187,いじり
188,いじる
189,いずみ
190,いずれ
191,いたし
192,いたずら
193,いただい
194,いただき
195,いただく
196,いただけ
197,いただける
198,いただけれ
199,いたっ
200,いたり
201,いたる
202,いたん
203,いた事
204,いち
205,いちいち
206,いちおう
207,いちご
208,いちど
209,いちばん
210,いち早く
211,いっ
212,いっか
213,いっさい
214,いっしょ
215,いっそ
216,いっそう
217,いったい
218,いったん
219,いっぱい
220,いっぽう
221,いつ
222,いつか
223,いつしか
224,いつのまにか
225,いつの間に
226,いつの間にか
227,いつも
228,いづみ
229,いと
230,いとう
231,いとも
232,いながらにして
233,いね
234,いのち
235,いま
236,いまいち
237,いまさら
238,いまだ
239,いまだに
240,いまどき
241,いまひとつ
242,いまや
243,いも
